id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
2114,21,1,葫芦岛,h,hu lu dao,211400000000,葫芦岛市
2201,22,1,长春,c,chang chun,220100000000,长春市
2202,22,1,吉林市,j,ji lin shi,220200000000,吉林市
2203,22,1,四平,s,si ping,220300000000,四平市
2204,22,1,辽源,l,liao yuan,220400000000,辽源市
2205,22,1,通化,t,tong hua,220500000000,通化市
2206,22,1,白山,b,bai shan,220600000000,白山市
2207,22,1,松原,s,song yuan,220700000000,松原市
2208,22,1,白城,b,bai cheng,220800000000,白城市
2224,22,1,延边,y,yan bian,222400000000,延边朝鲜族自治州
2301,23,1,哈尔滨,h,ha er bin,230100000000,哈尔滨市
2302,23,1,齐齐哈尔,q,qi qi ha er,230200000000,齐齐哈尔市
2303,23,1,鸡西,j,ji xi,230300000000,鸡西市
2304,23,1,鹤岗,h,he gang,230400000000,鹤岗市
2305,23,1,双鸭山,s,shuang ya shan,230500000000,双鸭山市
2306,23,1,大庆,d,da qing,230600000000,大庆市
2307,23,1,伊春,y,yi chun,230700000000,伊春市
2308,23,1,佳木斯,j,jia mu si,230800000000,佳木斯市
2309,23,1,七台河,q,qi tai he,230900000000,七台河市
2310,23,1,牡丹江,m,mu dan jiang,231000000000,牡丹江市
2311,23,1,黑河,h,hei he,231100000000,黑河市
2312,23,1,绥化,s,sui hua,231200000000,绥化市
2327,23,1,大兴安岭,d,da xing an ling,232700000000,大兴安岭地区
3101,31,1,上海,s,shang hai,310100000000,上海市
3201,32,1,南京,n,nan jing,320100000000,南京市
3202,32,1,无锡,w,wu xi,320200000000,无锡市
3203,32,1,徐州,x,xu zhou,320300000000,徐州市
3204,32,1,常州,c,chang zhou,320400000000,常州市
3205,32,1,苏州,s,su zhou,320500000000,苏州市
3206,32,1,南通,n,nan tong,320600000000,南通市
3207,32,1,连云港,l,lian yun gang,320700000000,连云港市
3208,32,1,淮安,h,huai an,320800000000,淮安市
3209,32,1,盐城,y,yan cheng,320900000000,盐城市
3210,32,1,扬州,y,yang zhou,321000000000,扬州市
3211,32,1,镇江,z,zhen jiang,321100000000,镇江市
3212,32,1,泰州,t,tai zhou,321200000000,泰州市
3213,32,1,宿迁,s,su qian,321300000000,宿迁市
3301,33,1,杭州,h,hang zhou,330100000000,杭州市
3302,33,1,宁波,n,ning bo,330200000000,宁波市
3303,33,1,温州,w,wen zhou,330300000000,温州市
3304,33,1,嘉兴,j,jia xing,330400000000,嘉兴市
3305,33,1,湖州,h,hu zhou,330500000000,湖州市
3306,33,1,绍兴,s,shao xing,330600000000,绍兴市
3307,33,1,金华,j,jin hua,330700000000,金华市
3308,33,1,衢州,q,qu zhou,330800000000,衢州市
3309,33,1,舟山,z,zhou shan,330900000000,舟山市
3310,33,1,台州,t,tai zhou,331000000000,台州市
3311,33,1,丽水,l,li shui,331100000000,丽水市
3401,34,1,合肥,h,he fei,340100000000,合肥市
3402,34,1,芜湖,w,wu hu,340200000000,芜湖市
3403,34,1,蚌埠,b,beng bu,340300000000,蚌埠市
3404,34,1,淮南,h,huai nan,340400000000,淮南市
3405,34,1,马鞍山,m,ma an shan,340500000000,马鞍山市
3406,34,1,淮北,h,huai bei,340600000000,淮北市
3407,34,1,铜陵,t,tong ling,340700000000,铜陵市
3408,34,1,安庆,a,an qing,340800000000,安庆市
3410,34,1,黄山,h,huang shan,341000000000,黄山市
3411,34,1,滁州,c,chu zhou,341100000000,滁州市
3412,34,1,阜阳,f,fu yang,341200000000,阜阳市
3413,34,1,宿州,s,su zhou,341300000000,宿州市
3415,34,1,六安,l,lu an,341500000000,六安市
3416,34,1,亳州,b,bo zhou,341600000000,亳州市
3417,34,1,池州,c,chi zhou,341700000000,池州市
3418,34,1,宣城,x,xuan cheng,341800000000,宣城市
3501,35,1,福州,f,fu zhou,350100000000,福州市
3502,35,1,厦门,x,xia men,350200000000,厦门市
3503,35,1,莆田,p,pu tian,350300000000,莆田市
3504,35,1,三明,s,san ming,350400000000,三明市
3505,35,1,泉州,q,quan zhou,350500000000,泉州市
3506,35,1,漳州,z,zhang zhou,350600000000,漳州市
3507,35,1,南平,n,nan ping,350700000000,南平市
3508,35,1,龙岩,l,long yan,350800000000,龙岩市
3509,35,1,宁德,n,ning de,350900000000,宁德市
3601,36,1,南昌,n,nan chang,360100000000,南昌市
3602,36,1,景德镇,j,jing de zhen,360200000000,景德镇市
3603,36,1,萍乡,p,ping xiang,360300000000,萍乡市
3604,36,1,九江,j,jiu jiang,360400000000,九江市
3605,36,1,新余,x,xin yu,360500000000,新余市
3606,36,1,鹰潭,y,ying tan,360600000000,鹰潭市
3607,36,1,赣州,g,gan zhou,360700000000,赣州市
3608,36,1,吉安,j,ji an,360800000000,吉安市
3609,36,1,宜春,y,yi chun,360900000000,宜春市
3610,36,1,抚州,f,fu zhou,361000000000,抚州市
3611,36,1,上饶,s,shang rao,361100000000,上饶市
3701,37,1,济南,j,ji nan,370100000000,济南市
3702,37,1,青岛,q,qing dao,370200000000,青岛市
3703,37,1,淄博,z,zi bo,370300000000,淄博市
3704,37,1,枣庄,z,zao zhuang,370400000000,枣庄市
3705,37,1,东营,d,dong ying,370500000000,东营市
3706,37,1,烟台,y,yan tai,370600000000,烟台市
3707,37,1,潍坊,w,wei fang,370700000000,潍坊市
3708,37,1,济宁,j,ji ning,370800000000,济宁市
3709,37,1,泰安,t,tai an,370900000000,泰安市
3710,37,1,威海,w,wei hai,371000000000,威海市
3711,37,1,日照,r,ri zhao,371100000000,日照市
3713,37,1,临沂,l,lin yi,371300000000,临沂市
3714,37,1,德州,d,de zhou,371400000000,德州市
3715,37,1,聊城,l,liao cheng,371500000000,聊城市
3716,37,1,滨州,b,bin zhou,371600000000,滨州市
3717,37,1,菏泽,h,he ze,371700000000,菏泽市
4101,41,1,郑州,z,zheng zhou,410100000000,郑州市
4102,41,1,开封,k,kai feng,410200000000,开封市
4103,41,1,洛阳,l,luo yang,410300000000,洛阳市
4104,41,1,平顶山,p,ping ding shan,410400000000,平顶山市
4105,41,1,安阳,a,an yang,410500000000,安阳市
4106,41,1,鹤壁,h,he bi,410600000000,鹤壁市
4107,41,1,新乡,x,xin xiang,410700000000,新乡市
4108,41,1,焦作,j,jiao zuo,410800000000,焦作市
4109,41,1,濮阳,p,pu yang,410900000000,濮阳市
4110,41,1,许昌,x,xu chang,411000000000,许昌市
4111,41,1,漯河,l,luo he,411100000000,漯河市
4112,41,1,三门峡,s,san men xia,411200000000,三门峡市
4113,41,1,南阳,n,nan yang,411300000000,南阳市
4114,41,1,商丘,s,shang qiu,411400000000,商丘市
4115,41,1,信阳,x,xin yang,411500000000,信阳市
4116,41,1,周口,z,zhou kou,411600000000,周口市
4117,41,1,驻马店,z,zhu ma dian,411700000000,驻马店市
419001,41,1,济源,j,ji yuan,419001000000,济源市
4201,42,1,武汉,w,wu han,420100000000,武汉市
4202,42,1,黄石,h,huang shi,420200000000,黄石市
4203,42,1,十堰,s,shi yan,420300000000,十堰市
4205,42,1,宜昌,y,yi chang,420500000000,宜昌市
4206,42,1,襄阳,x,xiang yang,420600000000,襄阳市
4207,42,1,鄂州,e,e zhou,420700000000,鄂州市
4208,42,1,荆门,j,jing men,420800000000,荆门市
4209,42,1,孝感,x,xiao gan,420900000000,孝感市
4210,42,1,荆州,j,jing zhou,421000000000,荆州市
4211,42,1,黄冈,h,huang gang,421100000000,黄冈市
4212,42,1,咸宁,x,xian ning,421200000000,咸宁市
4213,42,1,随州,s,sui zhou,421300000000,随州市
4228,42,1,恩施,e,en shi,422800000000,恩施土家族苗族自治州
429004,42,1,仙桃,x,xian tao,429004000000,仙桃市
429005,42,1,潜江,q,qian jiang,429005000000,潜江市
429006,42,1,天门,t,tian men,429006000000,天门市
429021,42,1,神农架,s,shen nong jia,429021000000,神农架林区
4301,43,1,长沙,c,chang sha,430100000000,长沙市
4302,43,1,株洲,z,zhu zhou,430200000000,株洲市
4303,43,1,湘潭,x,xiang tan,430300000000,湘潭市
4304,43,1,衡阳,h,heng yang,430400000000,衡阳市
4305,43,1,邵阳,s,shao yang,430500000000,邵阳市
4306,43,1,岳阳,y,yue yang,430600000000,岳阳市
4307,43,1,常德,c,chang de,430700000000,常德市
4308,43,1,张家界,z,zhang jia jie,430800000000,张家界市
4309,43,1,益阳,y,yi yang,430900000000,益阳市
4310,43,1,郴州,c,chen zhou,431000000000,郴州市
4311,43,1,永州,y,yong zhou,431100000000,永州市
4312,43,1,怀化,h,huai hua,431200000000,怀化市
4313,43,1,娄底,l,lou di,431300000000,娄底市
4331,43,1,湘西,x,xiang xi,433100000000,湘西土家族苗族自治州
4401,44,1,广州,g,guang zhou,440100000000,广州市
4402,44,1,韶关,s,shao guan,440200000000,韶关市
4403,44,1,深圳,s,shen zhen,440300000000,深圳市
4404,44,1,珠海,z,zhu hai,440400000000,珠海市
4405,44,1,汕头,s,shan tou,440500000000,汕头市
4406,44,1,佛山,f,fo shan,440600000000,佛山市
4407,44,1,江门,j,jiang men,440700000000,江门市
4408,44,1,湛江,z,zhan jiang,440800000000,湛江市
4409,44,1,茂名,m,mao ming,440900000000,茂名市
4412,44,1,肇庆,z,zhao qing,441200000000,肇庆市
4413,44,1,惠州,h,hui zhou,441300000000,惠州市
4414,44,1,梅州,m,mei zhou,441400000000,梅州市
4415,44,1,汕尾,s,shan wei,441500000000,汕尾市
4416,44,1,河源,h,he yuan,441600000000,河源市
4417,44,1,阳江,y,yang jiang,441700000000,阳江市
4418,44,1,清远,q,qing yuan,441800000000,清远市
4419,44,1,东莞,d,dong guan,441900000000,东莞市
4420,44,1,中山,z,zhong shan,442000000000,中山市
4451,44,1,潮州,c,chao zhou,445100000000,潮州市
4452,44,1,揭阳,j,jie yang,445200000000,揭阳市
4453,44,1,云浮,y,yun fu,445300000000,云浮市
4501,45,1,南宁,n,nan ning,450100000000,南宁市
4502,45,1,柳州,l,liu zhou,450200000000,柳州市
4503,45,1,桂林,g,gui lin,450300000000,桂林市
4504,45,1,梧州,w,wu zhou,450400000000,梧州市
4505,45,1,北海,b,bei hai,450500000000,北海市
4506,45,1,防城港,f,fang cheng gang,450600000000,防城港市
4507,45,1,钦州,q,qin zhou,450700000000,钦州市
4508,45,1,贵港,g,gui gang,450800000000,贵港市
4509,45,1,玉林,y,yu lin,450900000000,玉林市
4510,45,1,百色,b,bai se,451000000000,百色市
4511,45,1,贺州,h,he zhou,451100000000,贺州市
4512,45,1,河池,h,he chi,451200000000,河池市
4513,45,1,来宾,l,lai bin,451300000000,来宾市
4514,45,1,崇左,c,chong zuo,451400000000,崇左市
4601,46,1,海口,h,hai kou,460100000000,海口市
4602,46,1,三亚,s,san ya,460200000000,三亚市
4603,46,1,三沙,s,san sha,460300000000,三沙市
4604,46,1,儋州,d,dan zhou,460400000000,儋州市
469001,46,1,五指山,w,wu zhi shan,469001000000,五指山市
469002,46,1,琼海,q,qiong hai,469002000000,琼海市
469005,46,1,文昌,w,wen chang,469005000000,文昌市
469006,46,1,万宁,w,wan ning,469006000000,万宁市
469007,46,1,东方,d,dong fang,469007000000,东方市
469021,46,1,定安,d,ding an,469021000000,定安县
469022,46,1,屯昌,t,tun chang,469022000000,屯昌县
469023,46,1,澄迈,c,cheng mai,469023000000,澄迈县
469024,46,1,临高,l,lin gao,469024000000,临高县
469025,46,1,白沙,b,bai sha,469025000000,白沙黎族自治县
469026,46,1,昌江,c,chang jiang,469026000000,昌江黎族自治县
469027,46,1,乐东,l,le dong,469027000000,乐东黎族自治县
469028,46,1,陵水,l,ling shui,469028000000,陵水黎族自治县
469029,46,1,保亭,b,bao ting,469029000000,保亭黎族苗族自治县
469030,46,1,琼中,q,qiong zhong,469030000000,琼中黎族苗族自治县
5001,50,1,重庆城区,c,chong qing cheng qu,500100000000,重庆城区
5002,50,1,重庆郊县,c,chong qing jiao xian,500200000000,重庆郊县
5101,51,1,成都,c,cheng du,510100000000,成都市
5103,51,1,自贡,z,zi gong,510300000000,自贡市
5104,51,1,攀枝花,p,pan zhi hua,510400000000,攀枝花市
5105,51,1,泸州,l,lu zhou,510500000000,泸州市
5106,51,1,德阳,d,de yang,510600000000,德阳市
5107,51,1,绵阳,m,mian yang,510700000000,绵阳市
5108,51,1,广元,g,guang yuan,510800000000,广元市
5109,51,1,遂宁,s,sui ning,510900000000,遂宁市
5110,51,1,内江,n,nei jiang,511000000000,内江市
5111,51,1,乐山,l,le shan,511100000000,乐山市
5113,51,1,南充,n,nan chong,511300000000,南充市
5114,51,1,眉山,m,mei shan,511400000000,眉山市
5115,51,1,宜宾,y,yi bin,511500000000,宜宾市
5116,51,1,广安,g,guang an,511600000000,广安市
5117,51,1,达州,d,da zhou,511700000000,达州市
5118,51,1,雅安,y,ya an,511800000000,雅安市
5119,51,1,巴中,b,ba zhong,511900000000,巴中市
5120,51,1,资阳,z,zi yang,512000000000,资阳市
5132,51,1,阿坝,a,a ba,513200000000,阿坝藏族羌族自治州
5133,51,1,甘孜,g,gan zi,513300000000,甘孜藏族自治州
5134,51,1,凉山,l,liang shan,513400000000,凉山彝族自治州
5201,52,1,贵阳,g,gui yang,520100000000,贵阳市
5202,52,1,六盘水,l,liu pan shui,520200000000,六盘水市
5203,52,1,遵义,z,zun yi,520300000000,遵义市
5204,52,1,安顺,a,an shun,520400000000,安顺市
5205,52,1,毕节,b,bi jie,520500000000,毕节市
5206,52,1,铜仁,t,tong ren,520600000000,铜仁市
5223,52,1,黔西南,q,qian xi nan,522300000000,黔西南布依族苗族自治州
5226,52,1,黔东南,q,qian dong nan,522600000000,黔东南苗族侗族自治州
5227,52,1,黔南,q,qian nan,522700000000,黔南布依族苗族自治州
5301,53,1,昆明,k,kun ming,530100000000,昆明市
5303,53,1,曲靖,q,qu jing,530300000000,曲靖市
5304,53,1,玉溪,y,yu xi,530400000000,玉溪市
5305,53,1,保山,b,bao shan,530500000000,保山市
5306,53,1,昭通,z,zhao tong,530600000000,昭通市
5307,53,1,丽江,l,li jiang,530700000000,丽江市
5308,53,1,普洱,p,pu er,530800000000,普洱市
5309,53,1,临沧,l,lin cang,530900000000,临沧市
5323,53,1,楚雄,c,chu xiong,532300000000,楚雄彝族自治州
5325,53,1,红河,h,hong he,532500000000,红河哈尼族彝族自治州
5326,53,1,文山,w,wen shan,532600000000,文山壮族苗族自治州
5328,53,1,西双版纳,x,xi shuang ban na,532800000000,西双版纳傣族自治州
5329,53,1,大理,d,da li,532900000000,大理白族自治州
5331,53,1,德宏,d,de hong,533100000000,德宏傣族景颇族自治州
5333,53,1,怒江,n,nu jiang,533300000000,怒江傈僳族自治州
5334,53,1,迪庆,d,di qing,533400000000,迪庆藏族自治州
5401,54,1,拉萨,l,la sa,540100000000,拉萨市
5402,54,1,日喀则,r,ri ka ze,540200000000,日喀则市
5403,54,1,昌都,c,chang du,540300000000,昌都市
5404,54,1,林芝,l,lin zhi,540400000000,林芝市
5405,54,1,山南,s,shan nan,540500000000,山南市
5406,54,1,那曲,n,na qu,540600000000,那曲市
5425,54,1,阿里,a,a li,542500000000,阿里地区
6101,61,1,西安,x,xi an,610100000000,西安市
6102,61,1,铜川,t,tong chuan,610200000000,铜川市
6103,61,1,宝鸡,b,bao ji,610300000000,宝鸡市
6104,61,1,咸阳,x,xian yang,610400000000,咸阳市
6105,61,1,渭南,w,wei nan,610500000000,渭南市
6106,61,1,延安,y,yan an,610600000000,延安市
6107,61,1,汉中,h,han zhong,610700000000,汉中市
6108,61,1,榆林,y,yu lin,610800000000,榆林市
6109,61,1,安康,a,an kang,610900000000,安康市
6110,61,1,商洛,s,shang luo,611000000000,商洛市
6201,62,1,兰州,l,lan zhou,620100000000,兰州市
6202,62,1,嘉峪关,j,jia yu guan,620200000000,嘉峪关市
6203,62,1,金昌,j,jin chang,620300000000,金昌市
6204,62,1,白银,b,bai yin,620400000000,白银市
6205,62,1,天水,t,tian shui,620500000000,天水市
6206,62,1,武威,w,wu wei,620600000000,武威市
6207,62,1,张掖,z,zhang ye,620700000000,张掖市
6208,62,1,平凉,p,ping liang,620800000000,平凉市
6209,62,1,酒泉,j,jiu quan,620900000000,酒泉市
6210,62,1,庆阳,q,qing yang,621000000000,庆阳市
6211,62,1,定西,d,ding xi,621100000000,定西市
6212,62,1,陇南,l,long nan,621200000000,陇南市
6229,62,1,临夏,l,lin xia,622900000000,临夏回族自治州
6230,62,1,甘南,g,gan nan,623000000000,甘南藏族自治州
6301,63,1,西宁,x,xi ning,630100000000,西宁市
6302,63,1,海东,h,hai dong,630200000000,海东市
6322,63,1,海北,h,hai bei,632200000000,海北藏族自治州
6323,63,1,黄南,h,huang nan,632300000000,黄南藏族自治州
6325,63,1,海南,h,hai nan,632500000000,海南藏族自治州
6326,63,1,果洛,g,guo luo,632600000000,果洛藏族自治州
6327,63,1,玉树,y,yu shu,632700000000,玉树藏族自治州
6328,63,1,海西,h,hai xi,632800000000,海西蒙古族藏族自治州
6401,64,1,银川,y,yin chuan,640100000000,银川市
6402,64,1,石嘴山,s,shi zui shan,640200000000,石嘴山市
6403,64,1,吴忠,w,wu zhong,640300000000,吴忠市
6404,64,1,固原,g,gu yuan,640400000000,固原市
6405,64,1,中卫,z,zhong wei,640500000000,中卫市
6501,65,1,乌鲁木齐,w,wu lu mu qi,650100000000,乌鲁木齐市
6502,65,1,克拉玛依,k,ke la ma yi,650200000000,克拉玛依市
6504,65,1,吐鲁番,t,tu lu fan,650400000000,吐鲁番市
6505,65,1,哈密,h,ha mi,650500000000,哈密市
6523,65,1,昌吉,c,chang ji,652300000000,昌吉回族自治州
6527,65,1,博尔塔拉,b,bo er ta la,652700000000,博尔塔拉蒙古自治州
6528,65,1,巴音郭楞,b,ba yin guo leng,652800000000,巴音郭楞蒙古自治州
6529,65,1,阿克苏,a,a ke su,652900000000,阿克苏地区
6530,65,1,克孜勒苏,k,ke zi le su,653000000000,克孜勒苏柯尔克孜自治州
6531,65,1,喀什,k,ka shi,653100000000,喀什地区
6532,65,1,和田,h,he tian,653200000000,和田地区
6540,65,1,伊犁,y,yi li,654000000000,伊犁哈萨克自治州
6542,65,1,塔城,t,ta cheng,654200000000,塔城地区
6543,65,1,阿勒泰,a,a le tai,654300000000,阿勒泰地区
659001,65,1,石河子,s,shi he zi,659001000000,石河子市
659002,65,1,阿拉尔,a,a la er,659002000000,阿拉尔市
659003,65,1,图木舒克,t,tu mu shu ke,659003000000,图木舒克市
659004,65,1,五家渠,w,wu jia qu,659004000000,五家渠市
659005,65,1,北屯,b,bei tun,659005000000,北屯市
659006,65,1,铁门关,t,tie men guan,659006000000,铁门关市
659007,65,1,双河,s,shuang he,659007000000,双河市
659008,65,1,可克达拉,k,ke ke da la,659008000000,可克达拉市
659009,65,1,昆玉,k,kun yu,659009000000,昆玉市
659010,65,1,胡杨河,h,hu yang he,659010000000,胡杨河市
659011,65,1,新星,x,xin xing,659011000000,新星市
659012,65,1,白杨,b,bai yang,659012000000,白杨市
7101,71,1,台北,t,tai bei,710100000000,台北市
7102,71,1,高雄,g,gao xiong,710200000000,高雄市
7103,71,1,台南,t,tai nan,710300000000,台南市
7104,71,1,台中,t,tai zhong,710400000000,台中市
7106,71,1,南投,n,nan tou,710600000000,南投县
7107,71,1,基隆,j,ji long,710700000000,基隆市
7108,71,1,新竹市,x,xin zhu shi,710800000000,新竹市
7109,71,1,嘉义市,j,jia yi shi,710900000000,嘉义市
7111,71,1,新北,x,xin bei,711100000000,新北市
7112,71,1,宜兰,y,yi lan,711200000000,宜兰县
7113,71,1,新竹县,x,xin zhu xian,711300000000,新竹县
7114,71,1,桃园,t,tao yuan,711400000000,桃园市
7115,71,1,苗栗,m,miao li,711500000000,苗栗县
7117,71,1,彰化,z,zhang hua,711700000000,彰化县
7119,71,1,嘉义县,j,jia yi xian,711900000000,嘉义县
7121,71,1,云林,y,yun lin,712100000000,云林县
7124,71,1,屏东,p,ping dong,712400000000,屏东县
7125,71,1,台东,t,tai dong,712500000000,台东县
7126,71,1,花莲,h,hua lian,712600000000,花莲县
7127,71,1,澎湖,p,peng hu,712700000000,澎湖县
8100,81,1,香港,x,xiang gang,810000000000,香港特别行政区
8200,82,1,澳门,a,ao men,820000000000,澳门特别行政区
9100,91,1,国外,g,guo wai,0,国外
